"Date_Time","Location","Hyp_Hrs","Nor_Hrs","Temp_Hrs","DO_mean","DO_max","DO_min","DO_sd","TEMP_mean","TEMP_max","TEMP_min","TEMP_sd","Study_Day","Mean_K","Mean_Length","Mean_Weight","SD_K","Catch","Shan_Div","Mean_Depth","Max_Depth","Min_Depth"
2021-07-13,"Eel Bay",11,13,7,4.80395833333333,11.14,0,3.46114219222827,26.3125,30.4,23.14,2.3386288945412,32,-9.2559928674188,1.51232406357647,-0.291391816611087,7.22996690777478,58,2.2591330090013,56.7777777777778,59,51
2021-07-14,"Eel Bay",11.5,12.5,4.5,5.01770833333333,13.16,0.29,3.80056336226189,25.8625,29.76,23.08,2.07297350415681,33,-10.9670161527525,1.51636381660173,-0.334763646798744,9.33001337214804,32,2.38521171536701,51.2666666666667,56,46
2021-06-13,"Flynn Bay",5.5,18.5,0,6.81270833333333,11.36,1.14,2.93468961683567,23.8004166666667,27.52,18.5,2.46796837658051,2,-62.5591717091611,1.33177418306892,-1.00570637917702,47.8632978012913,88,1.53802824907634,78.8461538461538,95,65
2021-06-15,"Flynn Bay",5.5,18.5,0,6.15729166666667,9.47,1.16,2.53982302917025,21.9375,24.08,19.4,1.36646538908765,4,-68.4281731673485,1.25815736203197,-1.21802497086144,37.5086572847466,106,1.64112859378118,90.4166666666667,115,56
2021-06-16,"Flynn Bay",4.5,19.5,0,7.25666666666667,12.33,1.88,3.05491535094157,20.5458333333333,23.98,15.44,2.43331472838511,5,-31.9953295371199,1.39258947423052,-0.736500475868779,23.9144123675558,37,2.51368558068888,58.5,63,45
2021-06-17,"Flynn Bay",5,19,0,7.28520833333333,11.54,1.22,3.14275999420981,20.4979166666667,24.46,15.18,2.72575186452295,6,-40.3464466747726,1.36830224290039,-0.847065574431285,30.0925516036005,18,2.36490691856157,87.1538461538462,95,61
2021-06-20,"Flynn Bay",4.5,19.5,0,6.7575,10.31,1.6,2.63599833726096,23.50375,27.1,19.52,2.44188506272807,9,-19.1961557618536,1.45760610292307,-0.553203434345905,10.7160244245215,146,2.32129615901843,85.8823529411765,100,52
2021-06-21,"Flynn Bay",5.5,18.5,0,5.83645833333333,9.16,1.7,2.31215979862923,24.14,26.82,21,1.69365775637957,10,-25.2446952969053,1.40092022913107,-0.674206312225042,9.57186661070875,36,2.33467168088881,95.75,110,53
2021-06-22,"Flynn Bay",7.5,16.5,0,4.859375,8.33,0,2.64450245189622,21.2745833333333,24.68,18.66,1.46686372386707,11,-10.9056202564985,1.51253886055882,-0.344437567007361,8.09696695484808,60,2.00593171812326,95,111,59
2021-06-23,"Flynn Bay",5,19,0,6.77041666666667,11.08,1.41,3.1150458200471,19.52625,23.68,14.96,2.5423867367395,12,-85.5998179987607,1.19559665418578,-1.14475218216903,79.6161774917491,77,2.03638348100253,109.333333333333,135,58
2021-06-26,"Flynn Bay",9,15,0,5.1825,8.35,1.73,2.23333973747362,21.7333333333333,23.34,20.28,0.840995694914812,15,-22.0425389748336,1.43523686581831,-0.52921706543842,20.9393745546791,99,2.34912304480203,83.9411764705882,115,61
2021-06-27,"Flynn Bay",7,17,0,5.82145833333333,10.3,0.78,2.91602687258386,23.74125,27.48,20.64,2.29095318358139,16,-27.7990036547995,1.38359332703127,-0.634461264665076,20.7391925749701,45,2.10100115001912,96.2857142857143,117,59
2021-06-28,"Flynn Bay",8.5,15.5,7.5,4.79145833333333,8.99,0.72,2.1779992669277,26.3733333333333,30.18,22.8,2.21399161363548,17,-9.76759093421417,1.51509134586149,-0.202346333299336,19.9618939376741,43,1.58469744304528,103.8,137,54
2021-06-29,"Flynn Bay",19,5,9.5,2.78208333333333,9.35,0.38,2.16322646962015,27.4295833333333,30.92,23.4,2.19021417230539,18,-14.9062459071537,1.49209988444033,-0.416823904206818,17.6582022921436,8,2.11928092190985,84.4444444444444,110,64
2021-07-01,"Flynn Bay",20,4,0,2.228125,6.35,0,1.77158020128203,25.1404166666667,27.32,22.6,1.35846277066793,20,-28.4537797341833,1.37982858606447,-0.65705271147868,19.9155404498213,1344,0.839943569828608,93,117,53
2021-07-02,"Flynn Bay",18,6,0,2.154375,5.81,0,1.99839180688617,21.1241666666667,24.86,17.64,1.81626672674886,21,-15.7156060005767,1.50836823073172,-0.496382443567505,8.8971754444125,169,1.83150884481111,89.5555555555556,118,54
2021-07-03,"Flynn Bay",11,13,0,4.37229166666667,10.11,0,3.15337525321498,20.05625,23.66,16.6,2.12463426139203,22,-25.7634357734967,1.39706792671058,-0.661408482389378,13.5568480300314,21,2.15604074686626,102.076923076923,115,59
2021-07-04,"Flynn Bay",7,17,0,5.79875,9.86,0,3.14040695628191,21.65875,26.2,16.34,2.95640208663712,23,-14.0347904368743,1.49671840086317,-0.420654468623782,11.4220392898535,30,2.30190754132513,85,111,59
2021-07-06,"Flynn Bay",11,13,3,4.43145833333333,9.47,0,2.84639300644924,24.5433333333333,28.7,20.66,2.31482303292473,25,-30.0331911884707,1.3740940135031,-0.746089531045687,13.560954227535,26,2.34964610394724,95.625,110,64
2021-07-07,"Flynn Bay",15.5,8.5,0,2.86916666666667,6.97,0,2.16421852962487,22.0170833333333,27.28,18.3,2.61389084596315,26,-22.4845527200974,1.50022758654431,-0.41482618451633,37.3860505430265,16,2.01909177180338,87.4545454545455,130,52
2021-07-08,"Flynn Bay",16.5,7.5,0,3.02666666666667,6.52,0,2.04749180585307,18.9554166666667,21.96,16,1.88153056565753,27,-49.2611201383729,1.33950243050502,-0.990898429320295,35.3096880244144,28,2.60933059183169,99.8947368421053,142,42
2021-07-09,"Flynn Bay",18.5,5.5,0,3.085625,9.27,0.25,2.68641967400732,18.62,21.66,16.9,1.52336134493233,28,-15.5126600060276,1.46199195080346,-0.452469460119952,8.78341695556729,85,2.68171404336624,85.3571428571429,118,52
2021-07-11,"Flynn Bay",16,8,0,2.97875,7.57,0,2.59651781954872,20.78125,24.9,15.76,3.09138103476871,30,-34.3586210055018,1.39864286942,-0.809372103399584,29.5262032212569,43,2.21293941271788,121.388888888889,145,60
2021-07-12,"Flynn Bay",11.5,12.5,0,3.57458333333333,7.4,0,2.59586984423853,22.3520833333333,27.04,17.58,3.01021449602129,31,-14.5829968603611,1.50085765888807,-0.377986631084809,15.8400776233452,21,2.23922975067106,95,125,65
